交易日期,总市值,净利润,股票数量,平均市盈率
2018-03-22,4644999993489.689,104091323503.05704,634,44.624276425433976
2018-03-23,4397384466450.95,104997079475.73317,638,41.88101696168863
2018-03-26,4544680128578.771,106351744637.66391,640,42.7325394995852
2018-03-27,4705686408509.279,106980086595.31221,640,43.98656383883951
2018-03-28,4731938745810.069,106238018284.04704,643,44.540916916939786
2018-03-29,4752638823707.831,106748678033.11934,643,44.52175812644069
2018-03-30,4911512733641.61,107187426767.227,645,45.821724448219754
2018-04-02,4963862565031.852,108910023440.8445,648,45.577646650016746
2018-04-03,4931285152839.742,109022917138.6018,649,45.23163828546759
2018-04-04,4857092677135.559,108963757278.46715,649,44.575304655866454
2018-04-09,4893593869774.417,108628237736.89546,651,45.04900357149321
2018-04-10,4864286859800.712,110431179370.11487,651,44.04812922895484
2018-04-11,4886336702729.457,110469017805.83575,650,44.232643684022385
2018-04-12,4879234338526.816,110727706609.00858,652,44.06516208048919
2018-04-13,4896207779172.314,110816262800.28868,655,44.18311586627121
2018-04-16,4875510635953.358,107944885416.53575,656,45.166666462610316
2018-04-17,4771144644969.412,109857439307.66457,657,43.430328205697926
2018-04-18,4908120947231.837,110033275311.72293,661,44.6057879612071
2018-04-19,4867391008283.065,109351443634.03468,657,44.51144718832164
2018-04-20,4776926922638.7705,110982678158.13094,660,43.04209451345627
2018-04-23,4729009578471.308,110594869407.40161,666,42.75975552763587
2018-04-24,4913204181367.604,108812616913.70816,672,45.15289054452141
2018-04-25,5026952405254.845,109878738570.10616,678,45.75000105272858
2018-04-26,4911237739776.563,111939652757.07535,678,43.87397690463302
2018-04-27,4997102818676.49,92857771341.96307,681,53.81458919872078
2018-05-02,4987280837225.398,91774811106.47583,685,54.342588964190035
2018-05-03,5061530319116.424,91766407631.30557,686,55.15667933142141
2018-05-04,5037683151389.134,91799263707.99532,688,54.87716293034247
2018-05-07,5157009159980.72,91189469361.06729,689,56.55268306871483
2018-05-08,5178047295560.051,91187691064.39449,689,56.78449838041674
