candle_end_time,open,high,low,close,amount,info
1994-05-10,584.770,595.420,584.540,595.380,1716040.000,
1994-05-11,603.270,606.730,589.640,591.180,2548719.000,
1994-05-12,586.150,593.700,580.390,582.160,1844340.000,
1994-05-13,582.510,590.400,575.280,590.390,1466809.000,
1994-05-16,597.120,597.120,588.480,592.570,2653980.000,
1994-05-17,592.290,594.980,589.530,592.020,1637429.000,
1994-05-18,590.320,591.610,581.730,583.320,1945169.000,
1994-05-19,578.800,590.630,576.850,590.540,1231950.000,
1994-05-20,592.380,597.720,588.370,594.220,2057300.000,
1994-05-23,594.520,597.150,586.390,587.650,1585670.000,
1994-05-24,586.500,590.520,586.500,590.460,1047120.000,
1994-05-25,591.230,592.850,585.150,586.760,1076629.000,
1994-05-26,586.090,587.160,575.930,577.460,1099490.000,
1994-05-27,572.970,574.780,566.370,573.360,1299109.000,
1994-05-30,565.630,565.870,543.190,544.260,6412939.000,
1994-05-31,538.450,556.280,537.780,556.260,3108230.000,
1994-06-01,554.080,556.900,543.880,545.050,2250019.000,
1994-06-02,543.300,548.120,543.100,546.580,1835759.000,
1994-06-03,547.210,555.390,547.150,548.750,1757669.000,
1994-06-06,549.030,549.660,540.990,542.970,1169550.000,
1994-06-07,541.160,541.250,527.930,529.760,586252.000,
1994-06-08,526.400,535.520,522.850,533.560,805043.000,
1994-06-09,534.240,536.890,521.020,523.000,931669.000,
1994-06-10,519.840,521.840,512.030,514.540,784702.000,
1994-06-13,505.540,505.680,491.610,492.030,707643.000,
1994-06-14,492.450,497.800,487.260,490.750,751739.000,
1994-06-15,492.840,498.710,491.180,496.110,829896.000,
1994-06-16,498.110,506.400,494.940,506.360,797724.000,
1994-06-17,509.090,528.450,504.130,527.850,1842019.000,
1994-06-20,523.370,531.110,500.460,502.430,1858209.000,
1994-06-21,498.560,501.240,494.810,498.070,636656.000,
1994-06-22,499.140,509.190,499.140,505.180,556087.000,
1994-06-23,507.030,507.920,498.570,500.390,624637.000,
1994-06-24,499.910,500.500,490.680,492.330,599504.000,
1994-06-27,483.450,483.900,471.030,472.100,661366.000,
1994-06-28,470.540,472.950,468.770,469.950,387833.000,
1994-06-29,472.480,475.380,466.970,468.200,343037.000,
1994-06-30,466.350,471.180,458.740,469.290,475172.000,
1994-07-01,469.270,469.430,457.510,458.370,528995.000,
1994-07-04,446.230,446.860,438.120,438.580,519699.000,
1994-07-05,437.640,443.860,436.220,443.610,438989.000,
1994-07-06,444.590,445.050,430.770,431.710,562537.000,
1994-07-07,428.300,430.580,423.030,425.980,441381.000,
1994-07-08,426.250,438.060,425.900,437.750,596502.000,
1994-07-11,436.540,436.540,427.080,428.150,660752.000,
1994-07-12,427.620,431.150,427.230,429.210,322477.000,
1994-07-13,430.550,437.660,430.400,437.620,461652.000,
1994-07-14,437.530,440.590,430.570,431.800,790635.000,
1994-07-15,431.010,431.050,413.000,413.930,696118.000,
1994-07-18,405.610,406.640,397.470,398.960,450039.000,
1994-07-19,398.900,403.490,393.060,400.480,388638.000,
1994-07-20,401.980,402.590,393.140,393.870,334605.000,
1994-07-21,390.940,390.990,380.720,380.900,519747.000,
1994-07-22,378.190,378.230,362.290,363.730,782750.000,
1994-07-25,357.400,375.390,354.500,375.390,940691.000,
1994-07-26,376.760,388.800,372.110,388.750,1693890.000,
